iteration,best_score,temperature,stagnated,bp_steps,bp_loss_before,bp_loss_after,bp_grad_norm_mean,bp_improved_particles,scope,strategy,week_start
3,38938026772.309135,0.8043570000000001,False,4,63870458690.33795,63870260068.33678,496555.10292482807,24,lower,hpso,2026-03-09
4,26027952004.479137,0.7480520100000002,False,4,43085832844.88998,43085672881.49687,399908.58274484583,24,lower,hpso,2026-03-09
5,26027952004.479137,0.6956883693000002,False,4,46931620347.14041,46931451166.84355,422950.8421321197,24,lower,hpso,2026-03-09
6,26027952004.479137,0.6469901834490002,False,4,43535804240.69085,43535642616.24589,404061.2124116877,24,lower,hpso,2026-03-09
7,26027952004.479137,0.6017008706075703,False,4,48818596977.89198,48818424488.61377,431223.29553922213,24,lower,hpso,2026-03-09
8,26027952004.479137,0.5595818096650403,False,4,42520496822.82682,42520337077.05203,399364.53697213554,24,lower,hpso,2026-03-09
9,26027952004.479137,0.5204110829884876,False,4,39670932692.06889,39670778202.6753,386223.5839885303,24,lower,hpso,2026-03-09
10,26027952004.479137,0.4839823071792934,False,4,41856486042.437195,41856327939.68485,395256.9808659329,24,lower,hpso,2026-03-09
11,26027952004.479137,0.45010354567674293,True,4,41412902739.86692,41412744857.89708,394705.02457914245,24,lower,hpso,2026-03-09
12,25332360817.455883,0.41859629747937094,True,4,41573258959.311874,41573101468.283844,393727.6700804543,24,lower,hpso,2026-03-09
13,25332360817.455883,0.38929455665581497,False,4,36990824634.012985,36990675640.51701,372483.8399398813,24,lower,hpso,2026-03-09
14,25332360817.455883,0.36204393768990795,False,4,39223292604.703995,39223139593.164825,382528.9479338044,24,lower,hpso,2026-03-09
15,25332360817.455883,0.3367008620516144,False,4,37134384859.17072,37134235439.63823,373548.9312200255,24,lower,hpso,2026-03-09
16,25064501966.616123,0.3131318017080014,False,4,35726813726.522415,35726667282.47064,366110.22943949734,24,lower,hpso,2026-03-09
17,24056175901.8231,0.2912125755884413,False,4,36442607145.89508,36442459718.61004,368568.31260164035,24,lower,hpso,2026-03-09
18,23720811456.236885,0.2708276952972505,False,4,34794819856.252045,34794675860.456055,359989.58996998076,24,lower,hpso,2026-03-09
19,23720811456.236885,0.25186975662644295,False,4,34596579360.85887,34596436410.510574,357375.97071520536,24,lower,hpso,2026-03-09
20,23720811456.236885,0.23423887366259194,False,4,34369743883.32939,34369600513.21015,358425.3981199312,24,lower,hpso,2026-03-09
21,23720811456.236885,0.21784215250621053,False,4,32158719018.128365,32158581526.928658,343728.0992629196,24,lower,hpso,2026-03-09
22,23720811456.236885,0.2025932018307758,False,4,33407409575.86125,33407269532.454025,350108.6180632955,24,lower,hpso,2026-03-09
23,23720811456.236885,0.18841167770262152,False,4,32382355474.644173,32382216858.197712,346541.21614802314,24,lower,hpso,2026-03-09
24,23664458869.075184,0.175222860263438,False,4,30082324271.88189,30082190980.560677,333228.4030259749,24,lower,hpso,2026-03-09
25,23081492856.19456,0.16295726004499736,False,4,30852688103.55259,30852553004.977142,337746.5386233574,24,lower,hpso,2026-03-09
26,22408185719.61418,0.15155025184184756,False,4,29727075334.260395,29726942806.07265,331320.5693582347,24,lower,hpso,2026-03-09
27,22335610498.11589,0.14094173421291822,False,4,29480744240.904835,29480612112.33542,330321.5235447117,24,lower,hpso,2026-03-09
28,22335610498.11589,0.13107581281801395,False,4,30128685832.594776,30128552287.633564,333862.5030314443,24,lower,hpso,2026-03-09
29,22141764355.966404,0.121900505920753,False,4,31243612378.95284,31243476074.083927,340762.27227773174,24,lower,hpso,2026-03-09
30,22141764355.966404,0.11336747050630029,False,4,29792065804.996284,29791933556.604515,330621.0794243125,24,lower,hpso,2026-03-09
31,22141764355.966404,0.10543174757085927,False,4,27427050512.719868,27426923143.915222,318422.11162043037,24,lower,hpso,2026-03-09
32,21535090729.15467,0.09805152524089912,False,4,28143898291.354736,28143769701.355305,321475.0985789269,24,lower,hpso,2026-03-09
33,21535090729.15467,0.09118791847403619,False,4,27974078688.966957,27973951732.33765,317391.67326317413,24,lower,hpso,2026-03-09
34,21535090729.15467,0.08480476418085367,False,4,31900331893.59865,31900197726.793293,335417.1133985623,24,lower,hpso,2026-03-09
35,21535090729.15467,0.07886843068819391,False,4,29447424683.02199,29447296999.501728,319208.9006554223,24,lower,hpso,2026-03-09
0,414804.3726774501,1.0,False,4,500696.8660625264,498797.15716645774,4749.862449322234,24,lower,hpso,2026-03-16
1,387927.54167242,0.93,False,4,436988.6490862801,435116.37845822005,4682.413199541618,24,lower,hpso,2026-03-16
2,353872.00088625285,0.8649000000000001,False,4,390414.95128757996,388599.5550282351,4542.061746578911,24,lower,hpso,2026-03-16
3,295811.5817709765,0.8043570000000001,False,4,339693.19840181014,337900.04972799914,4483.646106359234,24,lower,hpso,2026-03-16
4,253403.3282251676,0.7480520100000002,False,4,287085.7287169755,285318.6308566395,4417.9828417865665,24,lower,hpso,2026-03-16
5,196533.05077033667,0.6956883693000002,False,4,233379.7850456181,231635.40198857692,4362.309427032847,24,lower,hpso,2026-03-16
6,146023.34879686075,0.6469901834490002,False,4,180632.57958312298,178898.41995703994,4336.345456993642,24,lower,hpso,2026-03-16
7,99070.45746769078,0.6017008706075703,False,4,127931.32480819647,126216.33766605216,4289.004003020892,24,lower,hpso,2026-03-16
8,58999.20169460752,0.5595818096650403,False,4,83843.35303708672,82120.87566732198,4308.291531920784,24,lower,hpso,2026-03-16
