时间,dynamic_lock_only,fixed_lock,ppo,rule_only
2026-03-07 00:45:00,1249473742.3704312,1248052055.6104264,1257143286.4288068,1462242702.138009
2026-03-07 01:00:00,1251720144.588853,1250274555.7152164,1259518632.8835711,1465512594.1781144
2026-03-07 01:15:00,1253669590.632057,1252241266.5105162,1261374941.126959,1468156511.3385017
2026-03-07 01:30:00,1255547894.9088326,1254136444.1556895,1263162218.9934316,1470787245.1574764
2026-03-07 01:45:00,1257385087.1335008,1255990142.450208,1264910366.2656474,1473379955.158123
2026-03-07 02:00:00,1259181960.3970869,1257803206.096134,1266619897.6096408,1475706592.424479
2026-03-07 02:15:00,1260966490.3526287,1259603193.490785,1268321039.639227,1477971921.1478243
2026-03-07 02:30:00,1262703333.5521672,1261355212.5381582,1269976014.0074117,1480222346.305031
2026-03-07 02:45:00,1264430932.1431546,1263097886.7070906,1271622284.6909397,1482481020.584512
2026-03-07 03:00:00,1266119791.5744276,1264801520.0710564,1273231443.494134,1484480053.8210533
2026-03-07 03:15:00,1267898392.4527087,1266578330.4881144,1275019703.336417,1486668146.9764867
2026-03-07 03:30:00,1269645290.4230258,1268323466.7612646,1276776105.0978782,1488830891.3099003
2026-03-07 03:45:00,1271389550.1271718,1270065979.0489898,1278529791.5531228,1490967948.9308662
2026-03-07 04:00:00,1273127881.0765762,1271802600.9678094,1280277342.1743548,1493049219.520184
2026-03-07 04:15:00,1274890215.730941,1273562569.8580604,1282052439.3672857,1495160379.0534487
2026-03-07 04:30:00,1276638075.2945042,1275308061.714377,1283813071.9519928,1497288834.584226
2026-03-07 04:45:00,1278376303.8177342,1277043937.3814461,1285563993.3795214,1499405361.368332
2026-03-07 05:00:00,1280104293.303868,1278769549.8610551,1287304806.0534217,1501409130.302891
2026-03-07 05:15:00,1281873277.1176028,1280531350.0258696,1289112543.348897,1503466350.3948326
2026-03-07 05:30:00,1283662570.2914367,1282313454.5360193,1290940617.0575125,1505580128.091533
2026-03-07 05:45:00,1285422482.6987345,1284066172.0111787,1292739343.815894,1507664559.5338736
2026-03-07 06:00:00,1287225353.261071,1285861844.2982008,1294581046.7646747,1509475648.2911873
2026-03-07 06:15:00,1288949258.9581192,1287603231.6072261,1296210644.7724044,1511077244.540584
2026-03-07 06:30:00,1290643670.501314,1289315171.7667325,1297810495.0529742,1512649087.844771
2026-03-07 06:45:00,1292453030.3574812,1291142934.3198102,1299520578.2620509,1514331067.0439377
2026-03-07 07:00:00,1294249589.3475275,1292958341.0478039,1301215459.7513595,1516007747.4350028
2026-03-07 07:15:00,1296319019.1142714,1295024412.2277386,1303303008.0166576,1518041742.1876266
2026-03-07 07:30:00,1298478356.0348644,1297180283.1730537,1305481042.7621486,1520116480.5476377
2026-03-07 07:45:00,1300674480.491637,1299372871.9433322,1307696241.1134703,1522239243.3030293
2026-03-07 08:00:00,1302983674.765731,1301678381.6476922,1310025312.4594402,1524444939.340465
2026-03-07 08:15:00,1305303014.0613043,1304009596.9027967,1312280584.7626052,1526527300.3633723
2026-03-07 08:30:00,1307612564.6888962,1306331040.608233,1314525976.0499792,1528625748.2529106
2026-03-07 08:45:00,1309886067.3022273,1308616266.6724858,1316736234.4059315,1530697834.733729
2026-03-07 09:00:00,1312103887.8738651,1310845577.7822375,1318892067.2100828,1532742250.2218235
2026-03-07 09:15:00,1313901922.8074872,1312712323.4924788,1320319429.543107,1534139079.375515
2026-03-07 09:30:00,1315653349.95358,1314530359.3585641,1321711524.0098586,1535485223.2872493
2026-03-07 09:45:00,1317346730.2917814,1316288192.1340883,1323057204.1220872,1536789611.1420295
2026-03-07 10:00:00,1318989379.934859,1317993514.3243556,1324361755.4755523,1538065707.2315924
2026-03-07 10:15:00,1320761274.715262,1319797749.4362237,1325959184.5409944,1539622831.3808997
2026-03-07 10:30:00,1322535137.1677136,1321604074.8677688,1327557919.6338704,1541190548.5036445
2026-03-07 10:45:00,1324320342.7624183,1323421975.2959876,1329166747.0887685,1542770667.2660143
2026-03-07 11:00:00,1326112275.8963706,1325246638.5456486,1330782111.746792,1544340370.1180754
2026-03-07 11:15:00,1327748885.9814336,1326951466.0612159,1332050710.6753035,1545496100.2414114
2026-03-07 11:30:00,1329340832.1977522,1328610578.1599374,1333280318.4997897,1546653733.934205
2026-03-07 11:45:00,1330878855.876836,1330212963.5931535,1334471131.1596258,1547751262.6994684
2026-03-07 12:00:00,1332349687.161295,1331745930.85493,1335606758.7768261,1548924259.3208585
2026-03-07 12:15:00,1334310925.0871022,1333715914.0760293,1337520818.6396215,1550945925.9489844
2026-03-07 12:30:00,1336213187.0225074,1335626756.96743,1339376789.0698068,1552909521.3881516
2026-03-07 12:45:00,1338061166.5656645,1337483201.1161718,1341179104.780892,1554819475.0245225
2026-03-07 13:00:00,1339902874.324727,1339333224.0814586,1342975954.6695118,1557751516.3361998
2026-03-07 13:15:00,1341692323.7377563,1341137748.5248754,1344684079.1289778,1560550152.926609
2026-03-07 13:30:00,1343523568.6052988,1342983807.5262833,1346435406.4960117,1563248253.1007783
2026-03-07 13:45:00,1345401480.2075078,1344876629.8601205,1348232879.4837646,1565921435.5672495
2026-03-07 14:00:00,1347236800.9584768,1346726718.5101278,1349988532.1562853,1568466716.0744097
2026-03-07 14:15:00,1349151978.7758253,1348634983.9026635,1351941000.2883105,1571262746.8200731
2026-03-07 14:30:00,1351044492.8339193,1350520522.8595324,1353871142.7802212,1574114335.0480106
2026-03-07 14:45:00,1352992465.2554667,1352461416.7637746,1355857301.5321667,1576964739.5554764
2026-03-07 15:00:00,1355010061.5065677,1354471758.6118886,1357914032.960503,1580534069.5333369
2026-03-07 15:15:00,1357052385.9951632,1356515211.122406,1359950272.132648,1584075040.0066922
2026-03-07 15:30:00,1359206854.5700195,1358670850.338909,1362098425.4713082,1587645638.8698375
2026-03-07 15:45:00,1361398665.0580938,1360863871.0483465,1364283707.2033112,1591310555.8534677
2026-03-07 16:00:00,1363676397.8528829,1363142859.247368,1366554667.494942,1595379404.7435498
2026-03-07 16:15:00,1366084401.9243574,1365534188.0357134,1369052629.3702335,1599808699.7672946
2026-03-07 16:30:00,1368601840.4862487,1368034394.2903717,1371663030.7023141,1604281628.9628325
2026-03-07 16:45:00,1371184018.6695402,1370598793.1579742,1374341122.5909598,1608840134.9272451
2026-03-07 17:00:00,1373801816.3787708,1373198372.4038823,1377057203.06617,1612795372.0560436
2026-03-07 17:15:00,1376521510.610688,1375882770.7755556,1379967307.142811,1617025974.4585814
2026-03-07 17:30:00,1379206534.046126,1378531685.7464664,1382847124.1624355,1621415575.7332242
2026-03-07 17:45:00,1381991137.198179,1381279402.7804308,1385830716.090204,1625953308.9774895
2026-03-07 18:00:00,1384860516.8924074,1384111254.1370564,1388902549.1284328,1628844019.899037
2026-03-07 18:15:00,1387781389.3011782,1386989302.3609262,1392054444.2787118,1631825127.4041197
2026-03-07 18:30:00,1390881607.8242924,1390045778.2399867,1395390640.3358643,1634753128.844246
