particle_index,score,weeks_evaluated,unique_weeks_evaluated
37,1487156317.8872557,96,13
38,1486397423.4330654,96,13
39,1485511648.8358662,96,13
40,1483740135.931652,96,13
41,1488007625.4737215,96,13
42,1493987653.5343564,96,13
43,1530962560.3421009,96,13
44,1487593065.479377,96,13
45,1489935929.744243,96,13
46,1484030717.0698917,96,13
47,1484552713.897752,96,13
0,1526632717.0659952,96,13
1,1483789224.8978035,96,13
2,1552662443.9957073,96,13
3,1521787602.6533945,96,13
4,1612460477.7621987,96,13
5,1784701875.1128604,96,13
6,1488407274.7168944,96,13
7,1486880266.1248462,96,13
8,1485194027.7706814,96,13
9,1568781237.6378434,96,13
10,1485535771.827647,96,13
11,1492712171.4473095,96,13
12,1485513014.5522346,96,13
13,1487088166.9804013,96,13
14,1510269068.8800223,96,13
15,1512105528.996167,96,13
16,1485926264.9819863,96,13
17,1497343047.5394447,96,13
18,1485062499.8219376,96,13
19,1502596338.3007557,96,13
20,1486652337.4969559,96,13
21,1522316647.5020401,96,13
22,1491518629.846963,96,13
23,1501793500.202526,96,13
24,1500454639.3442051,96,13
25,1488521226.79428,96,13
26,1496191981.0471375,96,13
27,1509763724.6573474,96,13
28,1496073661.9363868,96,13
29,1509927682.07193,96,13
30,1485529298.7912045,96,13
31,1514564179.7830162,96,13
32,1524008693.399535,96,13
33,1486686491.3881829,96,13
34,1488591465.2784576,96,13
35,1486418145.6658373,96,13
36,1485675999.1528473,96,13
37,1484579973.1079943,96,13
38,1506640286.1831236,96,13
39,1524607157.5077477,96,13
40,1508398488.532894,96,13
41,1486308189.7713015,96,13
42,1498439758.2649486,96,13
43,1485196864.9340305,96,13
44,1487634008.1208217,96,13
45,1497561591.743152,96,13
46,1507328892.6685164,96,13
47,1482939819.3205483,96,13
0,1482105498.5511515,96,13
1,1484233240.8866608,96,13
2,1485954501.4608052,96,13
3,1490424898.0607975,96,13
4,1500448978.9442549,96,13
5,1502105751.2122657,96,13
6,1487568302.2211456,96,13
7,1520286088.529616,96,13
8,1485343843.335284,96,13
9,1482917463.746547,96,13
10,1482730410.2385378,96,13
11,1487595698.4799204,96,13
12,1482530236.3533185,96,13
13,1494003499.692314,96,13
14,1483682519.9775753,96,13
15,1490761866.3799827,96,13
16,1484483403.9568748,96,13
17,1484530695.3021667,96,13
18,1482285785.6455984,96,13
19,1483464284.483921,96,13
20,1484034485.3951042,96,13
21,1485078360.7232811,96,13
22,1483154243.5378406,96,13
23,1525512906.2174785,96,13
24,1484684037.09139,96,13
25,1483393444.65489,96,13
26,1519395319.9980984,96,13
27,1496942154.9226468,96,13
28,1497425987.1398222,96,13
29,1495488687.7168663,96,13
30,1483798751.5192597,96,13
31,1495786156.5690482,96,13
32,1509163132.0346005,96,13
33,1482847122.5498326,96,13
34,1487312632.2009184,96,13
35,1487957626.9201362,96,13
36,1485598031.057439,96,13
37,1483771636.1582088,96,13
38,1484483442.863692,96,13
39,1486105844.6030533,96,13
40,1509256179.7891624,96,13
41,1486738793.0525534,96,13
42,1501694578.3569443,96,13
43,1485577719.6531754,96,13
44,1491687362.5346005,96,13
45,1484421147.5475082,96,13
46,1486522297.3775241,96,13
47,1483049818.5442524,96,13
0,1485021449.4389265,96,13
1,1485405271.548876,96,13
2,1482131238.1446247,96,13
3,1484385948.3027894,96,13
4,1485563700.3312728,96,13
5,1497965930.2042446,96,13
6,1491298944.295517,96,13
7,1486434096.828207,96,13
8,1485579227.1476562,96,13
9,1483284517.178355,96,13
10,1482530367.701793,96,13
11,1486724007.4583228,96,13
12,1482172551.5118496,96,13
13,1490397730.5966256,96,13
14,1485274754.699948,96,13
15,1484344437.5041268,96,13
16,1484064222.9057162,96,13
17,1486794750.1095893,96,13
18,1482869538.1792266,96,13
19,1485232974.562296,96,13
20,1490608681.9477813,96,13
21,1483835184.6018848,96,13
22,1487127217.62904,96,13
23,1484244529.6917295,96,13
24,1486989647.041898,96,13
25,1489103097.7192163,96,13
26,1482280679.6651335,96,13
27,1519497400.8142262,96,13
28,1482127462.806885,96,13
29,1488804597.4946938,96,13
30,1482755800.038183,96,13
31,1497982786.121031,96,13
32,1489886026.5605977,96,13
33,1481699278.447134,96,13
34,1481933808.4889774,96,13
35,1486394932.990366,96,13
36,1486037686.6483943,96,13
37,1480690387.8492992,96,13
38,1482747756.8135254,96,13
39,1483863835.9173248,96,13
40,1484173904.0927732,96,13
41,1486754207.0173495,96,13
42,1501722644.1787975,96,13
43,1491585341.1361997,96,13
44,1494076335.3043756,96,13
45,1485849812.9888802,96,13
46,1486222979.6679745,96,13
47,1481378955.9635105,96,13
0,1478505172.8185952,96,13
1,1498892700.2864692,96,13
2,1482756972.6159694,96,13
3,1483089176.0051072,96,13
4,1483443707.55509,96,13
5,1496478015.563503,96,13
6,1483962145.387455,96,13
7,1487162350.5595767,96,13
8,1492274525.4717865,96,13
9,1481476015.1278152,96,13
10,1482002780.516832,96,13
11,1489150361.962199,96,13
12,1482020134.0078094,96,13
13,1488881697.118662,96,13
14,1484765328.4596531,96,13
15,1487915205.9336078,96,13
16,1483767540.7785833,96,13
17,1482643605.1682603,96,13
18,1484203332.5309212,96,13
19,1484278993.8043282,96,13
20,1480072700.1141136,96,13
21,1482453897.7736704,96,13
22,1484265062.7424104,96,13
23,1478598684.445731,96,13
24,1480416359.0555165,96,13
25,1481333259.8045323,96,13
26,1480047569.3191967,96,13
27,1497164447.7641695,96,13
28,1485064376.9594543,96,13
29,1487366594.7353783,96,13
30,1480626243.6409495,96,13
31,1493417110.1220562,96,13
32,1488715831.3775997,96,13
33,1483524604.617669,96,13
